exam_subject_id,program_year_id,year,subject_slot,subject_id,subject_name_raw,subject_name_std,score_max,exam_duration_minutes,exam_method,source_id,source_locator
EXAM-3fb10faa-11c1-5e56-b037-bbcbb8d0a37d,PY-3a2cd018-7f77-5bc5-9f9c-a1c016453ac4,2024,professional_1,SUBJ-dedd1bdc-f56a-52b9-8be2-d3449d5338a1,无机化学,无机化学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""材料科学与工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-0685043f-659a-5efd-ac81-58a9a81a508b,PY-3a2cd018-7f77-5bc5-9f9c-a1c016453ac4,2024,professional_2,SUBJ-4c8d96e4-aca9-5a2b-9627-a8413f8122de,大学物理,大学物理,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""材料科学与工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-8567b865-d63d-5b05-a0dd-f66ab9fd960e,PY-3a2cd018-7f77-5bc5-9f9c-a1c016453ac4,2024,public_1,SUBJ-c1afee7c-2c8b-5b96-8fd0-29904b52131b,高等数学,高等数学,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""材料科学与工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-1bafb0a3-8ed5-586f-ac38-eaeb475faab5,PY-3a2cd018-7f77-5bc5-9f9c-a1c016453ac4,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""材料科学与工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-433b4b81-2bb7-5b85-ac05-319503aa7b32,PY-cce1b798-d909-5e3a-8e03-49751024827c,2024,professional_1,SUBJ-1c3ae097-7035-5332-8158-78a17463b465,建筑速写,建筑速写,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""环境设计"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-ee2377bb-d1b5-58c4-ab4d-4a15011ccdbc,PY-cce1b798-d909-5e3a-8e03-49751024827c,2024,professional_2,SUBJ-79f29a13-1d52-50f7-b94f-a4a47fddc19b,室内设计表现,室内设计表现,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""环境设计"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-9d7718e0-cf6f-5b2f-9fb9-66013cab72c0,PY-cce1b798-d909-5e3a-8e03-49751024827c,2024,public_1,SUBJ-d88b6f0d-ab2d-511e-bbc2-2ff6a8d9b607,大学语文,大学语文,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""环境设计"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-5705862e-0613-5ea7-9d3a-a082a43c421b,PY-cce1b798-d909-5e3a-8e03-49751024827c,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""环境设计"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-4164db82-87bb-59ed-bde1-d6a001e940ba,PY-383f6bf8-4300-552c-9214-286c5ae05e4c,2024,professional_1,SUBJ-512487a4-1606-5a3e-bbb4-aaa0090673b5,生物化学,生物化学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""生物制药"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-1ae46128-8586-5533-b656-41120ca39471,PY-383f6bf8-4300-552c-9214-286c5ae05e4c,2024,professional_2,SUBJ-e954d6b6-e336-5243-997a-401c8e1fec54,微生物学,微生物学,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""生物制药"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-e21fcc5d-1af5-5565-8aa7-7e2a2cf24ee8,PY-383f6bf8-4300-552c-9214-286c5ae05e4c,2024,public_1,SUBJ-c1afee7c-2c8b-5b96-8fd0-29904b52131b,高等数学,高等数学,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""生物制药"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-1d39f351-8603-5ce7-936e-449015a6ece2,PY-383f6bf8-4300-552c-9214-286c5ae05e4c,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""生物制药"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-5d7a99bd-1b78-5245-94d7-e3bac1f497fc,PY-efd03451-30c9-5a3b-a3c0-c025f88814d9,2024,professional_1,SUBJ-17c29bcb-031b-5886-9ae6-dbda71e015ef,电路分析基础,电路分析基础,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""电子信息工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-1069ef13-bc50-57aa-98be-9410ad0ea43c,PY-efd03451-30c9-5a3b-a3c0-c025f88814d9,2024,professional_2,SUBJ-0210da2c-c125-5f19-9416-37fce69429c7,数字电子技术基础,数字电子技术基础,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""电子信息工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-65cf401a-6439-5611-a146-c42862333c66,PY-efd03451-30c9-5a3b-a3c0-c025f88814d9,2024,public_1,SUBJ-c1afee7c-2c8b-5b96-8fd0-29904b52131b,高等数学,高等数学,150,120,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""电子信息工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-d3f5836f-3d24-5576-b412-cc9b3f1f8a9d,PY-efd03451-30c9-5a3b-a3c0-c025f88814d9,2024,public_2,SUBJ-519af401-8795-53ed-8ca6-c732ca62949c,英语,英语,150,90,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""电子信息工程"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
EXAM-37be0fb7-01bc-50bf-a376-681675bd80cc,PY-faa4df75-4caa-5caa-afbc-83d5d9f96562,2024,professional_1,SUBJ-17c29bcb-031b-5886-9ae6-dbda71e015ef,电路分析基础,电路分析基础,150,,笔试,SRC-HFNU-2024-ZC,"{""row_key"":""电气工程及其自动化"",""section"":""考试科目"",""table"":3,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
