enrollment_plan_id,offering_id,plan_type,plan_value,value_status,plan_version,announcement_date,is_derived,derivation_method,raw_value,source_id,source_locator
PLAN-e12ac1f2-86a5-52bd-99f2-6a011061c2d2,OFF-3c999571-6cbc-5ffa-94cc-bedff9a6b1c8,registered_poor_family,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-44a7adb6-5b32-52ba-9ba9-2e0728d4cfcc,OFF-9ede7d69-d5cc-5ccb-8967-b105266703a9,total,60,explicit_value,original,2024-03-21,false,,60,SRC-HFNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-023a2d1b-4635-59ec-bc5d-a28b3fdcfcaa,OFF-9ede7d69-d5cc-5ccb-8967-b105266703a9,retired_soldier_culture_exam_exempt,4,explicit_value,original,2024-03-21,false,,4,SRC-HFNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-db79eed1-f8bc-5482-b922-295989a4acae,OFF-9ede7d69-d5cc-5ccb-8967-b105266703a9,retired_soldier_non_exempt,2,explicit_value,original,2024-03-21,false,,2,SRC-HFNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-dc72e519-6de3-5339-b650-f12a8ab0d63d,OFF-9ede7d69-d5cc-5ccb-8967-b105266703a9,registered_poor_family,4,explicit_value,original,2024-03-21,false,,4,SRC-HFNU-2024-ZC,"{""row_key"":""小学教育"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-76e466d0-67a7-5185-80c6-90d8e204f6ed,OFF-bd3de362-2399-561b-a7c9-2e5227676c3a,total,40,explicit_value,original,2024-03-21,false,,40,SRC-HFNU-2024-ZC,"{""row_key"":""市场营销"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-c5d7d7c2-71d9-5b56-9e53-1c3495946fbe,OFF-bd3de362-2399-561b-a7c9-2e5227676c3a,retired_soldier_culture_exam_exempt,3,explicit_value,original,2024-03-21,false,,3,SRC-HFNU-2024-ZC,"{""row_key"":""市场营销"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-021cca32-885a-514d-9112-7425ef2aae74,OFF-bd3de362-2399-561b-a7c9-2e5227676c3a,retired_soldier_non_exempt,1,explicit_value,original,2024-03-21,false,,1,SRC-HFNU-2024-ZC,"{""row_key"":""市场营销"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-0fc4a086-201c-5ede-b39b-666c9df5fcc5,OFF-bd3de362-2399-561b-a7c9-2e5227676c3a,registered_poor_family,3,explicit_value,original,2024-03-21,false,,3,SRC-HFNU-2024-ZC,"{""row_key"":""市场营销"",""section"":""招生专业计划"",""table"":1,""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
PLAN-14a65fad-0d22-5e55-8238-fc894a54d0bf,OFF-05967d2f-8093-53ae-857e-356eebfe89a2,total,,blank_in_source,original,2024-03-22,false,,,SRC-AHNU-2024-ZC,"{""row_key"":""教育技术学"",""section"":""招生专业计划"",""table"":""1.1 招生专业与计划"",""url"":""https://zsb.hfnu.edu.cn/info/1003/2715.htm""}"
