reference_book_id,program_year_id,subject_id,book_name,author,publisher,edition,isbn,source_id,source_locator
BOOK-dd75b81f-5b9a-560f-bdf1-742b14a6601d,PY-ed1c505d-c15f-5eb8-ac3e-fd6c0180066b,SUBJ-17c29bcb-031b-5886-9ae6-dbda71e015ef,电路,邱关源,高等教育出版社,第五版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":39,""row_key"":""通信工程|电路分析基础|电路"",""section"":""参考书目""}"
BOOK-2fd28e35-8f97-59b4-9ab9-a711b97f6a7b,PY-7c2fe360-dbc0-50a0-83e7-8c346215e406,SUBJ-17c29bcb-031b-5886-9ae6-dbda71e015ef,电路分析基础,,,,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":38,""row_key"":""通信工程|电路分析基础|电路分析基础"",""section"":""参考书目""}"
BOOK-c2e00e96-6354-5478-9b56-a106efd007ea,PY-463cbd2c-1087-553b-969f-9f38cad0f7f3,SUBJ-17c29bcb-031b-5886-9ae6-dbda71e015ef,电路分析基础,,,,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":48,""row_key"":""通信工程|电路分析基础|电路分析基础"",""section"":""参考书目""}"
BOOK-668b43fa-38d9-50c5-98c6-10e0696d6665,PY-290a1ee3-ba61-51ad-8200-9203c30cb382,SUBJ-024394d2-caed-5aa8-8645-aa8357db25b1,中国音乐史,《中国音乐史》编写组,高等教育出版社,,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":22,""row_key"":""音乐学|中国音乐史|中国音乐史"",""section"":""参考书目""}"
BOOK-6d0d05ab-6a03-531b-bc94-6e7079cfc49b,PY-7baeb8ae-145f-5e01-998b-b44752508c28,SUBJ-024394d2-caed-5aa8-8645-aa8357db25b1,中国音乐史,《中国音乐史》编写组,高等教育出版社,,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":22,""row_key"":""音乐学|中国音乐史|中国音乐史"",""section"":""参考书目""}"
BOOK-41f72a85-c58b-5f0d-a6d1-ecfff98cdfff,PY-7baeb8ae-145f-5e01-998b-b44752508c28,SUBJ-024394d2-caed-5aa8-8645-aa8357db25b1,中国音乐史与名作赏析,田可文,人民音乐出版社,,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":22,""row_key"":""音乐学|中国音乐史|中国音乐史与名作赏析"",""section"":""参考书目""}"
BOOK-a71ac350-bc6a-5a44-af36-dde26a1f1913,PY-290a1ee3-ba61-51ad-8200-9203c30cb382,SUBJ-024394d2-caed-5aa8-8645-aa8357db25b1,中国音乐史与名作赏析,田可文,人民音乐出版社,,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":22,""row_key"":""音乐学|中国音乐史|中国音乐史与名作赏析"",""section"":""参考书目""}"
BOOK-2299a0ad-364d-536f-b831-2aebebeed4a5,PY-290a1ee3-ba61-51ad-8200-9203c30cb382,SUBJ-65f907f9-5dad-55b8-8388-0a8afb34bcfa,和声学教程,斯波索宾(合著),人民音乐出版社,,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":21,""row_key"":""音乐学|和声|和声学教程"",""section"":""参考书目""}"
BOOK-38a55aaa-ec77-5230-86d9-71154c16564c,PY-7baeb8ae-145f-5e01-998b-b44752508c28,SUBJ-65f907f9-5dad-55b8-8388-0a8afb34bcfa,和声学教程,姜之国,上海音乐学院出版社,,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":21,""row_key"":""音乐学|和声|和声学教程"",""section"":""参考书目""}"
BOOK-6543fd66-74f1-576d-ad37-0f6e6e118995,PY-7baeb8ae-145f-5e01-998b-b44752508c28,SUBJ-65f907f9-5dad-55b8-8388-0a8afb34bcfa,和声学教程,斯波索宾(合著),人民音乐出版社,,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":21,""row_key"":""音乐学|和声|和声学教程"",""section"":""参考书目""}"
BOOK-8409cd47-4fa8-5c00-a8fd-08eea9d242d8,PY-290a1ee3-ba61-51ad-8200-9203c30cb382,SUBJ-65f907f9-5dad-55b8-8388-0a8afb34bcfa,和声学教程,姜之国,上海音乐学院出版社,,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":21,""row_key"":""音乐学|和声|和声学教程"",""section"":""参考书目""}"
BOOK-b4c1d7c7-7479-57d2-852a-db6644b2469d,PY-589eff83-7764-5386-b721-c8e025c15c6e,SUBJ-512487a4-1606-5a3e-bbb4-aaa0090673b5,生物化学简明教程,魏民主编,高等教育出版社,第六版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":45,""row_key"":""食品质量与安全|生物化学|生物化学简明教程"",""section"":""参考书目""}"
BOOK-c843ca0c-888c-5810-8a6c-7679ab4aacbd,PY-5a308856-46aa-584b-856c-62c27c55f791,SUBJ-512487a4-1606-5a3e-bbb4-aaa0090673b5,生物化学简明教程,魏民主编,高等教育出版社,第六版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":62,""row_key"":""食品质量与安全|生物化学|生物化学简明教程"",""section"":""参考书目""}"
BOOK-d8a41609-bcb6-531e-8bfc-a78a8b3847ae,PY-268e09d8-98bc-5c9d-8fd1-32d0f7d4c7f3,SUBJ-512487a4-1606-5a3e-bbb4-aaa0090673b5,生物化学简明教程,魏民主编,高等教育出版社,第六版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":44,""row_key"":""食品质量与安全|生物化学|生物化学简明教程"",""section"":""参考书目""}"
BOOK-0d23ff6c-6255-5f58-b413-5cc70e116823,PY-5a308856-46aa-584b-856c-62c27c55f791,SUBJ-e954d6b6-e336-5243-997a-401c8e1fec54,微生物学教程,周德庆编,高等教育出版社,第四版,,SRC-HFNU-2024-DG,"{""asset_id"":""ASSET-HFNU-2024-DG-PDF"",""page"":62,""row_key"":""食品质量与安全|微生物学|微生物学教程"",""section"":""参考书目""}"
BOOK-56b67d89-acbf-585b-a1d5-9e5f757b2dc7,PY-268e09d8-98bc-5c9d-8fd1-32d0f7d4c7f3,SUBJ-e954d6b6-e336-5243-997a-401c8e1fec54,微生物学教程,周德庆编,高等教育出版社,第四版,,SRC-HFNU-2025-DG,"{""asset_id"":""ASSET-HFNU-2025-DG-PDF"",""page"":44,""row_key"":""食品质量与安全|微生物学|微生物学教程"",""section"":""参考书目""}"
BOOK-cf821173-2c55-533f-adcc-188cf99c8bd0,PY-589eff83-7764-5386-b721-c8e025c15c6e,SUBJ-e954d6b6-e336-5243-997a-401c8e1fec54,微生物学教程,周德庆编,高等教育出版社,第四版,,SRC-HFNU-2026-DG,"{""asset_id"":""ASSET-HFNU-2026-DG-PDF"",""page"":45,""row_key"":""食品质量与安全|微生物学|微生物学教程"",""section"":""参考书目""}"
