eligibility_rule_item_id,eligibility_rule_set_id,ordinal,scope_type,include_or_exclude,category_code,category_name_raw,major_code,major_name_raw,condition_raw
ELIGITEM-2770afb3-e863-58ba-898e-3e23238b887d,ELIGSET-4eedd813-6d62-5786-9b91-18d754be67e4,6,major_category,include,,农林牧渔大类,,,
ELIGITEM-e35c68d8-853b-55b7-918e-fda81f8486c9,ELIGSET-53f7d850-a2dc-58de-895d-d8aecc09cce4,1,major_category,include,,电子与信息大类,,,
ELIGITEM-41251c8f-ca85-5c20-9f3e-e2a97eee678d,ELIGSET-53f7d850-a2dc-58de-895d-d8aecc09cce4,2,major_category,include,,装备制造大类,,,
ELIGITEM-128cde45-a735-584b-a253-13bd34dff8a8,ELIGSET-53f7d850-a2dc-58de-895d-d8aecc09cce4,3,major_category,include,,交通运输大类,,,
ELIGITEM-d2e11c4b-1354-55c5-8bef-904b07eb387c,ELIGSET-53f7d850-a2dc-58de-895d-d8aecc09cce4,4,major_category,include,,土木建筑大类,,,
ELIGITEM-784c9a38-8376-5912-bb63-b718c245a819,ELIGSET-552d09ea-3871-5210-b7b2-350a1cc05121,1,major_category,include,,电子与信息大类,,,
ELIGITEM-90d064f9-602e-51b4-850e-b6e0ad7e9be2,ELIGSET-552d09ea-3871-5210-b7b2-350a1cc05121,2,major_category,include,,装备制造大类,,,
ELIGITEM-1b26f321-c8bb-535a-9ea1-1d8220ada557,ELIGSET-552d09ea-3871-5210-b7b2-350a1cc05121,3,major_category,include,,交通运输大类,,,
ELIGITEM-27349e5c-21e3-5dce-b03a-d9485466660b,ELIGSET-56d1e09d-c229-5c7b-a345-aca0564b139b,1,major_category,include,,电子与信息大类,,,
ELIGITEM-b961f3be-6f7d-5621-8723-0426bd2e0d61,ELIGSET-56d1e09d-c229-5c7b-a345-aca0564b139b,2,major_category,include,,装备制造大类,,,
ELIGITEM-aaadc59a-6567-524d-af10-a97bb58ac461,ELIGSET-56d1e09d-c229-5c7b-a345-aca0564b139b,3,major_category,include,,交通运输大类,,,
ELIGITEM-34dd6b10-8a2d-515c-b883-e9d3b2cf8dd0,ELIGSET-56d1e09d-c229-5c7b-a345-aca0564b139b,4,major_category,include,,土木建筑大类,,,
ELIGITEM-544652f7-cb2a-51bc-b21b-6a061f1ad2bd,ELIGSET-5903f6a0-4106-52b0-9d84-8b1278f36eff,1,major_category,include,,资源环境与安全大类,,,
ELIGITEM-c1f92e30-5e03-5dbd-8a5b-a8ffbeae93d7,ELIGSET-5903f6a0-4106-52b0-9d84-8b1278f36eff,2,major_category,include,,电子与信息大类,,,
ELIGITEM-91328b91-5d24-5d1c-afd2-360ebffd0c04,ELIGSET-5903f6a0-4106-52b0-9d84-8b1278f36eff,3,major_category,include,,装备制造大类,,,
ELIGITEM-ba911fea-58e1-5f25-9f12-e18eb4ea16e0,ELIGSET-5903f6a0-4106-52b0-9d84-8b1278f36eff,4,major_category,include,,生物与化工大类,,,
ELIGITEM-826ac8a1-2dd5-5316-bcdf-a7d289f4c080,ELIGSET-5903f6a0-4106-52b0-9d84-8b1278f36eff,5,major_category,include,,医药卫生大类,,,
ELIGITEM-0215b650-755b-5e73-9f3b-297bd0ac7687,ELIGSET-5903f6a0-4106-52b0-9d84-8b1278f36eff,6,major_category,include,,交通运输大类,,,
ELIGITEM-159894c4-77dc-5fd6-a452-49da44980838,ELIGSET-5903f6a0-4106-52b0-9d84-8b1278f36eff,7,major_category,include,,能源动力与材料大类,,,
ELIGITEM-d59b1e2a-921a-50f3-a8e1-13932ddfc2eb,ELIGSET-5966f635-7f25-5982-bb90-16ff0b77e624,1,major_category,include,,电子与信息大类,,,
ELIGITEM-6b9d0e44-871f-5ab6-8e87-3ddb6200a927,ELIGSET-5966f635-7f25-5982-bb90-16ff0b77e624,2,major_category,include,,装备制造大类,,,
ELIGITEM-e8420171-94bc-5d10-a7b3-b7c36d9641fb,ELIGSET-5966f635-7f25-5982-bb90-16ff0b77e624,3,major_category,include,,交通运输大类,,,
ELIGITEM-eeb9c005-3833-51bd-918d-c28d50c5c453,ELIGSET-5966f635-7f25-5982-bb90-16ff0b77e624,4,major_category,include,,土木建筑大类,,,
ELIGITEM-3c14f8ce-690a-5183-89ce-d8c4274e7532,ELIGSET-59fb983a-fd53-5fb7-be40-2dd969d26a48,1,major_category,include,,文化艺术大类,,,
ELIGITEM-cdf3c5c4-18e3-508f-87a0-d320f91f5179,ELIGSET-59fb983a-fd53-5fb7-be40-2dd969d26a48,2,major_category,include,,教育与体育大类,,,限于美术教育、艺术教育2个专业
ELIGITEM-5380657f-8f03-5b84-aa6d-498aa67d3298,ELIGSET-59fb983a-fd53-5fb7-be40-2dd969d26a48,3,major_category,include,,电子与信息大类,,,限于数字媒体技术、动漫制作技术、动漫设计与制作3个专业
ELIGITEM-c9e95e93-2621-5efe-9763-e67820e568c3,ELIGSET-59fb983a-fd53-5fb7-be40-2dd969d26a48,4,major_category,include,,新闻传播大类,,,限于影视动画专业
ELIGITEM-e3573708-412a-5c22-852b-2a9723c30fcf,ELIGSET-63d9ac6d-3300-52bb-ac01-a861568755f7,1,major_category,include,,资源环境与安全大类,,,
